id,skills,experience,education,location,career_field,relocation
642,medical terminology infection control treatment planning medical records clinical documentation critical care,12,Associate,Dallas,Healthcare,True
643,ux design figma adobe indesign 3d modeling branding client counseling,1,Bachelor,Boston,Arts & Media,False
644,copywriting figma prototyping,1,Bachelor,Miami,Arts & Media,False
645,swift react html rust,2,PhD,Chicago,Software & IT,False
646,wireframing user testing adobe indesign layout design,7,Associate,Cleveland,Arts & Media,True
647,performance management hr policies change management talent management workforce planning employee engagement,7,Master,Boston,Human Resources,True
648,mechanical design catia thermodynamics autocad failure analysis root cause analysis prototyping customer journey,6,Master,Denver,Engineering,False
649,objection handling negotiation sales analytics photography,2,High School,Nashville,Sales,False
650,ui design responsive design user research copywriting cinema 4d,6,High School,Minneapolis,Arts & Media,False
651,gaap mergers and acquisitions banking,1,Bachelor,Kansas City,Finance,False
652,autocad catia plc thermodynamics microcontrollers system design coaching,1,Bachelor,Baltimore,Engineering,False
653,benefits administration hr analytics workforce planning adp diversity & inclusion,2,Bachelor,San Jose,Human Resources,True
654,stem education blackboard student counseling educational psychology student support differentiated instruction course development,5,Bachelor,Houston,Education,True
655,invision art direction wireframing after effects customer acquisition customer retention,10,Associate,New York,Arts & Media,False
656,process improvement project management fluid dynamics 3d modeling failure analysis,8,Master,San Jose,Engineering,False
657,brief writing family law document review e-discovery mediation case management,2,Bachelor,Washington DC,Legal,False
658,educational leadership educational psychology lesson planning,6,Bachelor,Orlando,Education,False
659,research google classroom lms lesson planning iep development educational administration curriculum development,10,Master,Boston,Education,True
660,content strategy crm software content creation analytics buffer google analytics financial analysis quickbooks,3,Bachelor,Raleigh,Marketing,False
661,jenkins sql redux node.js,1,PhD,Tampa,Software & IT,True
662,nosql rust gcp pytorch ppc inbound marketing,3,Associate,San Jose,Software & IT,False
663,mailchimp canva crm software ppc hootsuite public relations regulatory compliance negotiation,7,Associate,Portland,Marketing,True
664,coaching employee training employee relations hr analytics payroll processing,7,Bachelor,Orlando,Human Resources,True
665,quotas sales funnel management objection handling crm presentations,7,Associate,Columbus,Sales,True
666,contract negotiation client relationship management crm solution selling closing techniques banking financial reporting,2,Associate,St. Louis,Sales,True
667,adobe creative suite hubspot crm software content creation,8,Master,Dallas,Marketing,False
668,legal ethics arbitration legal documentation creative direction copywriting,1,Bachelor,Salt Lake City,Legal,False
669,sem hubspot facebook ads google analytics market research lead generation,2,High School,Denver,Marketing,True
670,google classroom special education student assessment student support teaching research,1,Bachelor,Remote,Education,True
671,premiere pro 3d modeling storyboarding ux design adobe photoshop responsive design,14,Associate,San Francisco,Arts & Media,False
672,power bi taxation investment management audit derivatives banking,11,High School,Miami,Finance,True
673,e-discovery regulatory compliance westlaw trademark law client counseling mediation,2,Bachelor,Los Angeles,Legal,True
674,tableau audit capital markets bloomberg terminal,1,High School,Chicago,Finance,True
675,emergency care diagnosis medical terminology treatment planning pharmacology medical records,5,Bachelor,Phoenix,Healthcare,False
676,courtroom procedure contract law arbitration,5,Master,San Antonio,Legal,True
677,diversity & inclusion benefits administration adp organizational development workforce planning talent acquisition,1,Associate,Remote,Human Resources,False
678,investment management audit banking capital markets taxation,1,Master,Austin,Finance,False
679,case management diagnosis cpr medical terminology,9,Associate,Atlanta,Healthcare,False
680,mediation legal documentation trademark law criminal law document review legal analysis legal ethics,2,Bachelor,Nashville,Legal,False
681,cfa investment management risk assessment financial analysis mergers and acquisitions cpa forecasting,3,Bachelor,Cincinnati,Finance,True
682,public relations influencer marketing affiliate marketing google ads,7,Associate,Columbus,Marketing,False
683,taxation portfolio management cash flow analysis bloomberg terminal corporate finance family law litigation,4,Bachelor,Phoenix,Finance,False
684,c# flask aws css disease management phlebotomy medical records,0,High School,Atlanta,Software & IT,False
685,copywriting sem ppc influencer marketing editing,8,Associate,Detroit,Marketing,True
686,b2c sales quotas solution selling account management pipeline management prospecting objection handling,9,Bachelor,San Francisco,Sales,True
687,c++ scikit-learn sql azure django rest api,3,Bachelor,San Francisco,Software & IT,True
688,hr compliance diversity & inclusion applicant tracking systems hris systems conflict resolution labor laws employee relations,6,Bachelor,Cleveland,Human Resources,False
689,proposal writing sales enablement cold calling presentations payroll processing workday applicant tracking systems,1,High School,Nashville,Sales,True
690,surgery therapy vital signs medical records laboratory testing wireframing illustration,24,Associate,Remote,Healthcare,True
691,patient assessment rehabilitation patient care treatment planning critical care patient education,2,High School,Nashville,Healthcare,False
692,stem education educational assessment instructional design iep development,19,High School,Philadelphia,Education,True
693,layout design cinema 4d premiere pro,2,Associate,New York,Arts & Media,False
694,pedagogy educational technology curriculum development iep development,2,High School,Baltimore,Education,True
695,invision 3d modeling responsive design adobe photoshop ux design typography videography,2,Associate,Miami,Arts & Media,False
696,layout design sketch cinema 4d creative direction,5,Master,Baltimore,Arts & Media,True
697,audit quickbooks tableau bloomberg terminal accounting excel,1,Bachelor,San Antonio,Finance,True
698,cinema 4d photography art direction adobe photoshop illustration branding 3d modeling,6,Master,Orlando,Arts & Media,True
699,physiology infection control psychiatric evaluation anatomy engineering design,1,Associate,Phoenix,Healthcare,True
700,benefits administration labor laws recruiting hr analytics employee relations,4,Master,Denver,Human Resources,True
701,trial experience document review courtroom procedure trademark law intellectual property deposition due diligence,2,Master,Detroit,Legal,True
702,engineering design project management testing,4,Bachelor,Miami,Engineering,True
703,financial statements taxation budget management bloomberg terminal power bi derivatives banking,9,Associate,Nashville,Finance,True
704,responsive design storytelling content strategy illustration editing,2,Associate,Columbus,Arts & Media,False
705,financial analysis banking cfa power bi r financial reporting cpa upselling pipeline management b2c sales,1,High School,Boston,Finance,False
706,bamboo hr hris systems adp interviewing prospecting,1,Bachelor,Washington DC,Human Resources,False
707,customer retention presentations b2c sales account management,1,Master,Miami,Sales,False
708,google ads branding ppc hubspot storytelling adobe creative suite,3,PhD,Columbus,Marketing,True
709,cold calling closing techniques sales enablement,5,Associate,San Francisco,Sales,True
710,preventive care case management therapy clinical research treatment planning rehabilitation,1,Bachelor,Orlando,Healthcare,False
711,anatomy preventive care case management patient assessment medical terminology surgery b2c sales hubspot,3,Bachelor,Salt Lake City,Healthcare,True
712,presentations closing techniques cold calling salesforce sales enablement,3,Bachelor,Raleigh,Sales,False
713,plc testing cad,9,Master,Austin,Engineering,False
714,document review negotiation lexisnexis,4,Master,Miami,Legal,True
715,academic advising mentoring educational psychology instructional design interviewing workday,4,Master,Columbus,Education,True
716,instructional design iep development blackboard,9,High School,Chicago,Education,True
717,sales enablement sales analytics closing techniques,1,Bachelor,San Francisco,Sales,True
718,wireframing user research illustration invision,7,Bachelor,Atlanta,Arts & Media,True
719,crm software content strategy canva hootsuite sales analytics sales strategy,4,Bachelor,Indianapolis,Marketing,False
720,compensation employee retention hr compliance,2,Master,Portland,Human Resources,False
721,internal controls quickbooks mergers and acquisitions budget management power bi excel financial modeling sales,2,Bachelor,Remote,Finance,False
722,instructional design lesson planning educational technology educational administration course development,6,High School,Denver,Education,True
723,mechanical design manufacturing processes thermodynamics materials science circuit design catia microcontrollers,6,Bachelor,Kansas City,Engineering,True
724,employee engagement payroll processing conflict resolution career development employee retention performance management talent acquisition,1,Associate,Los Angeles,Human Resources,True
725,student assessment academic writing differentiated instruction google classroom educational assessment,4,Master,Charlotte,Education,True
726,sketching premiere pro ui design wireframing storyboarding,1,Associate,Phoenix,Arts & Media,True
727,mediation legal ethics civil procedure case management,9,Bachelor,Seattle,Legal,False
728,audit sap accounting,5,Bachelor,Raleigh,Finance,True
729,finite element analysis blueprint reading system design mechanical design industrial design autocad 3d modeling,2,High School,Cleveland,Engineering,False
730,content strategy content creation mailchimp email marketing a/b testing,6,Master,Atlanta,Marketing,True
731,cross-selling crm negotiation territory management ppc inbound marketing analytics,2,High School,Seattle,Sales,False
732,matlab root cause analysis 3d modeling plc,3,High School,Houston,Engineering,False
733,a/b testing content strategy seo tools power bi financial analysis corporate finance,2,PhD,Seattle,Marketing,True
734,root cause analysis microcontrollers quality assurance cad circuit design thermodynamics prototyping google analytics content strategy marketing automation,2,Bachelor,Portland,Engineering,False
735,django pytorch java scikit-learn,13,Master,San Diego,Software & IT,True
736,postgresql javascript git spring .net mysql,2,PhD,Raleigh,Software & IT,True
737,3d modeling structural analysis simulation root cause analysis,7,PhD,Denver,Engineering,True
738,product development manufacturing processes engineering design system design plc solidworks prototyping,20,Associate,Los Angeles,Engineering,False
739,differentiated instruction canvas google classroom student engagement,7,Associate,St. Louis,Education,True
740,oracle docker pytorch .net c# scala salesforce b2b sales solution selling,8,Master,St. Louis,Software & IT,False
741,phlebotomy patient care vital signs treatment planning healthcare regulations diagnosis hr compliance,8,PhD,Los Angeles,Healthcare,False
742,storytelling social media marketing adobe creative suite hootsuite hubspot buffer campaign management cinema 4d ui design,4,Bachelor,Charlotte,Marketing,False
743,hubspot pipeline management customer retention contract negotiation sales funnel management lead generation financial analysis cpa financial statements,4,Master,Baltimore,Sales,True
744,regulatory compliance derivatives capital markets r investment management excel,7,Associate,Dallas,Finance,False
745,academic advising academic writing student counseling,8,Associate,San Jose,Education,True
746,moodle canvas academic advising iep development curriculum development educational psychology academic writing,1,Bachelor,Cincinnati,Education,True
747,taxation gaap sql corporate finance python cash flow analysis derivatives,3,Bachelor,Miami,Finance,True
748,physiology patient education imaging clinical research,4,Master,Houston,Healthcare,True
749,digital marketing storytelling seo tools hubspot canva a/b testing sem negotiation mediation,5,Bachelor,Nashville,Marketing,False
750,anatomy rehabilitation vital signs therapy patient assessment patient care hr analytics employee retention talent management,11,Bachelor,Atlanta,Healthcare,True
751,react scikit-learn javascript azure tensorflow structural analysis quality control,1,Bachelor,Cincinnati,Software & IT,True
752,copywriting adobe indesign visual design storyboarding,4,Bachelor,San Jose,Arts & Media,False
753,business development quotas customer acquisition territory management customer retention upselling taxation cpa,4,High School,Charlotte,Sales,False
754,differentiated instruction curriculum development educational psychology mentoring,16,Bachelor,St. Louis,Education,True
755,surgery critical care pharmacology healthcare regulations case management videography figma layout design,3,High School,Remote,Healthcare,False
756,contract law family law deposition drafting intellectual property lexisnexis,4,Associate,Tampa,Legal,False
757,course development blackboard curriculum development educational leadership,3,High School,Indianapolis,Education,True
758,pytorch typescript pandas flask scikit-learn tensorflow cad,3,Associate,Remote,Software & IT,False
759,succession planning interviewing workforce planning coaching hris systems,1,Bachelor,Austin,Human Resources,False
760,blender adobe photoshop after effects invision videography branding illustration instructional design google classroom,10,Bachelor,Minneapolis,Arts & Media,False
761,root cause analysis 3d modeling mechanical design process improvement thermodynamics,2,Bachelor,St. Louis,Engineering,True
762,curriculum development academic writing educational technology iep development differentiated instruction educational assessment course development labor laws performance management workday,11,Bachelor,Phoenix,Education,False
763,phlebotomy rehabilitation case management tensorflow,2,Associate,Baltimore,Healthcare,True
764,ppc canva adobe creative suite branding campaign management employee training applicant tracking systems,6,Bachelor,Washington DC,Marketing,True
765,educational technology blackboard educational assessment educational administration google classroom moodle,2,High School,Raleigh,Education,True
766,canvas academic advising google classroom educational administration lesson planning iep development educational assessment,17,Associate,St. Louis,Education,True
767,business development proposal writing contract negotiation pipeline management prospecting customer retention customer acquisition trial experience,16,Bachelor,Los Angeles,Sales,True
768,creative direction branding premiere pro sketching,4,Bachelor,Cincinnati,Arts & Media,False
769,customer acquisition pipeline management sales strategy,5,High School,Portland,Sales,True
770,power bi internal controls corporate finance financial modeling,7,High School,Salt Lake City,Finance,True
771,physiology case management infection control patient care treatment planning critical care,1,PhD,Kansas City,Healthcare,False
772,digital marketing outbound marketing google analytics affiliate marketing seo,6,Bachelor,Los Angeles,Marketing,False
773,creative direction cinema 4d premiere pro,15,High School,Indianapolis,Arts & Media,True
774,diversity & inclusion interviewing compensation python,4,Associate,Miami,Human Resources,False
775,pharmacology infection control healthcare regulations phlebotomy rehabilitation cpr preventive care,3,Bachelor,Dallas,Healthcare,True
776,git swift .net postgresql,1,Bachelor,Boston,Software & IT,False
777,typography content strategy blender color theory cinema 4d user testing adobe indesign,4,Master,Tampa,Arts & Media,False
778,plc testing thermodynamics solidworks quality control content strategy facebook ads,17,Associate,Chicago,Engineering,True
779,student assessment mentoring educational administration teaching,4,Bachelor,Boston,Education,True
780,payroll processing compensation diversity & inclusion cpr therapy,3,Bachelor,San Diego,Human Resources,True
781,diagnosis emergency care preventive care electronic health records imaging clinical documentation critical care,4,Associate,Detroit,Healthcare,True
782,premiere pro creative direction user research art direction animation blender storyboarding educational administration classroom management,10,Bachelor,San Francisco,Arts & Media,False
783,quality assurance ansys failure analysis illustration,1,Master,Boston,Engineering,True
784,portfolio management excel financial analysis banking quickbooks financial statements sap,8,Master,Indianapolis,Finance,True
785,territory management sales analytics cross-selling,0,Master,Austin,Sales,False
786,oracle python java,8,Bachelor,Raleigh,Software & IT,True
787,document review trial experience arbitration deposition,3,PhD,Boston,Legal,False
788,prototyping content strategy ui design creative direction figma branding blender,1,Associate,Atlanta,Arts & Media,True
789,wireframing illustration layout design art direction sketching creative direction case management,7,PhD,Denver,Arts & Media,True
790,iep development special education research google classroom student assessment,7,High School,Remote,Education,False
791,campaign management market research storytelling hootsuite content strategy inbound marketing branding,3,Bachelor,San Diego,Marketing,False
792,legal writing patent law arbitration contract law negotiation hubspot b2b sales sales analytics,2,Associate,Miami,Legal,True
793,branding ux design blender photography illustration layout design premiere pro clinical documentation disease management,6,Associate,San Francisco,Arts & Media,True
794,ruby nosql python flask html sql,5,Bachelor,Charlotte,Software & IT,False
795,storytelling seo copywriting scala rest api git,3,Bachelor,Cleveland,Marketing,False
796,prototyping failure analysis technical documentation product development mechanical design testing,6,Master,Minneapolis,Engineering,True
797,curriculum development student engagement blackboard special education research iep development,2,High School,Pittsburgh,Education,False
798,client relationship management sales analytics b2b sales,1,Bachelor,Phoenix,Sales,False
799,sql css pytorch rest api .net kubernetes ruby courtroom procedure arbitration,1,High School,Miami,Software & IT,True
800,adobe illustrator animation storytelling visual design branding color theory,1,Associate,San Francisco,Arts & Media,False
801,solution selling sales forecasting sales strategy crm sales analytics territory management,6,Bachelor,Los Angeles,Sales,False
802,educational leadership academic advising student support instructional design moodle,2,Bachelor,Seattle,Education,True
803,talent management adp recruiting succession planning,2,High School,Charlotte,Human Resources,False
804,blackboard special education curriculum development student engagement,12,Associate,Phoenix,Education,False
805,c# jenkins azure sql mysql graphql django,8,Bachelor,Nashville,Software & IT,True
806,pandas php oracle scikit-learn kotlin sql jenkins,2,High School,Philadelphia,Software & IT,True
807,mediation courtroom procedure legal ethics contract law negotiation legal analysis due diligence special education,3,High School,Tampa,Legal,False
808,art direction layout design color theory content strategy bloomberg terminal forecasting,3,Associate,Charlotte,Arts & Media,True
809,curriculum development blackboard special education academic advising lms solution selling,8,Bachelor,Atlanta,Education,False
810,healthcare regulations cpr imaging disease management patient education critical care medical records technical documentation,12,High School,Pittsburgh,Healthcare,False
811,r gaap internal controls,1,High School,Nashville,Finance,True
812,regulatory compliance quickbooks derivatives,2,Associate,Minneapolis,Finance,False
813,patient education cpr psychiatric evaluation medical terminology disease management pharmacology docker,8,Associate,St. Louis,Healthcare,False
814,swift c++ aws css html,2,Associate,San Francisco,Software & IT,False
815,industrial design ansys microcontrollers manufacturing processes structural analysis,2,High School,Indianapolis,Engineering,True
816,risk assessment derivatives taxation,2,Bachelor,Cleveland,Finance,True
817,color theory editing copywriting content strategy ux design storytelling preventive care patient care therapy,2,PhD,San Francisco,Arts & Media,False
818,inbound marketing sem marketing automation,9,Associate,Remote,Marketing,False
819,hris systems recruiting hr policies,2,Bachelor,New York,Human Resources,True
820,canvas differentiated instruction moodle derivatives sql regulatory compliance,1,Master,San Jose,Education,True
821,plc mechanical design product development matlab manufacturing processes,9,High School,Washington DC,Engineering,True
822,research curriculum development teaching canvas educational assessment educational psychology copywriting,4,Bachelor,Cleveland,Education,False
823,financial analysis regulatory compliance forecasting,16,Master,San Diego,Finance,True
824,negotiation document review legal research trial experience contract law legal ethics regulatory compliance,4,Associate,San Antonio,Legal,False
825,mysql c# postgresql css docker .net mailchimp,11,Bachelor,Detroit,Software & IT,True
826,google analytics email marketing facebook ads public relations,3,High School,Pittsburgh,Marketing,True
827,kubernetes git rust disease management electronic health records,12,PhD,San Diego,Software & IT,False
828,gcp redux typescript,5,High School,Miami,Software & IT,False
829,gaap sql quickbooks power bi banking tableau internal controls applicant tracking systems,4,High School,Nashville,Finance,True
830,gd&t autocad fluid dynamics thermodynamics structural analysis root cause analysis catia,4,Bachelor,Washington DC,Engineering,True
831,labor laws employee relations bamboo hr applicant tracking systems,19,Associate,Minneapolis,Human Resources,True
832,pandas swift react mongodb rust spring,3,Bachelor,San Francisco,Software & IT,False
833,rehabilitation medication management electronic health records clinical research patient assessment,6,Bachelor,Denver,Healthcare,False
834,cpr preventive care patient assessment critical care diagnosis pharmacology typography editing responsive design,4,Bachelor,Salt Lake City,Healthcare,False
835,litigation drafting arbitration case management criminal law,3,Associate,San Diego,Legal,False
836,b2c sales crm salesforce presentations solution selling taxation pivot tables,11,Associate,San Francisco,Sales,False
837,educational technology student assessment educational administration stem education product development materials science thermodynamics,7,Bachelor,Miami,Education,True
838,tableau investment management r,5,Associate,Austin,Finance,False
839,forecasting taxation mergers and acquisitions pivot tables sap gaap quickbooks,13,High School,Denver,Finance,False
840,blueprint reading product development technical documentation prototyping manufacturing processes structural analysis fluid dynamics,9,High School,Minneapolis,Engineering,True
841,academic writing stem education instructional design classroom management teaching research special education,18,Associate,St. Louis,Education,True
842,b2b sales pipeline management customer acquisition quotas territory management negotiation,3,High School,Columbus,Sales,True
843,legal documentation criminal law legal research trademark law legal analysis contract law patient assessment psychiatric evaluation,6,Bachelor,Houston,Legal,False
844,css kubernetes node.js swift,8,Master,Salt Lake City,Software & IT,True
845,due diligence patent law criminal law mediation civil procedure,0,Associate,New York,Legal,False
846,civil procedure regulatory compliance intellectual property,14,Bachelor,Austin,Legal,False
847,cash flow analysis cfa financial statements financial modeling tableau pivot tables prospecting b2b sales,10,PhD,Portland,Finance,False
848,3d modeling art direction blender animation illustration,3,Bachelor,Charlotte,Arts & Media,True
849,territory management b2c sales crm proposal writing salesforce pipeline management,8,Master,Portland,Sales,False
850,lexisnexis courtroom procedure due diligence document review mediation legal research,7,Bachelor,Miami,Legal,True
851,copywriting inbound marketing seo tools taxation mergers and acquisitions sap,1,Bachelor,Orlando,Marketing,True
852,corporate finance derivatives excel accounting sql risk assessment financial statements aws,6,Bachelor,Chicago,Finance,True
853,sales enablement business development cold calling,3,Master,Cincinnati,Sales,False
854,lms course development instructional design educational administration academic writing classroom management blackboard,4,Associate,Atlanta,Education,False
855,interviewing organizational development talent management,4,Master,Charlotte,Human Resources,False
856,workday bamboo hr talent management benefits administration hr compliance,1,Master,Miami,Human Resources,True
857,google classroom educational psychology educational technology student assessment academic writing educational administration classroom management,5,Bachelor,Tampa,Education,True
858,lexisnexis litigation negotiation e-discovery brief writing client counseling arbitration,7,Associate,Seattle,Legal,False
859,educational assessment google classroom educational administration pedagogy curriculum development course development,2,Bachelor,San Antonio,Education,True
860,hubspot digital marketing storytelling content creation social media marketing outbound marketing hibernate,8,Bachelor,Chicago,Marketing,True
861,preventive care imaging surgery disease management,9,Master,St. Louis,Healthcare,False
862,case management vital signs emergency care disease management critical care imaging consultative selling pipeline management sales funnel management,10,Associate,Portland,Healthcare,False
863,materials science 3d modeling microcontrollers matlab cad client counseling arbitration family law,8,Master,Denver,Engineering,False
864,solution selling sales strategy customer retention,26,High School,San Antonio,Sales,True
865,coaching hr compliance recruiting,4,Associate,Dallas,Human Resources,False
866,nosql spring c#,4,Associate,San Francisco,Software & IT,True
867,customer retention pipeline management sales analytics instructional design student support,4,Bachelor,Indianapolis,Sales,True
868,teaching instructional design differentiated instruction curriculum development student assessment educational psychology research,9,Master,Chicago,Education,False
869,negotiation e-discovery westlaw deposition due diligence,4,Bachelor,New York,Legal,True
870,workday bamboo hr employee relations hr policies labor laws performance management hr analytics,3,Bachelor,Salt Lake City,Human Resources,False
871,quality assurance system design matlab fluid dynamics structural analysis,12,High School,Tampa,Engineering,True
872,customer acquisition cold calling cross-selling lead generation classroom management moodle,3,Master,St. Louis,Sales,True
873,pedagogy educational administration blackboard student engagement,9,Associate,Nashville,Education,False
874,legal analysis mediation drafting criminal law westlaw legal documentation litigation cinema 4d content strategy,5,Master,Denver,Legal,True
875,bamboo hr coaching performance management hris systems compensation nosql c++,3,Associate,Houston,Human Resources,False
876,moodle google classroom course development research blackboard educational leadership,8,Bachelor,Raleigh,Education,False
877,intellectual property patent law criminal law trademark law lexisnexis legal writing sketch copywriting premiere pro,5,Associate,Los Angeles,Legal,False
878,pivot tables sap tableau mergers and acquisitions quickbooks bloomberg terminal,2,Bachelor,Houston,Finance,True
879,materials science simulation root cause analysis catia gd&t quality control,2,Bachelor,Houston,Engineering,True
880,medical records patient education rehabilitation courtroom procedure,10,Bachelor,Orlando,Healthcare,False
881,system design cad materials science ansys project management,7,Bachelor,Phoenix,Engineering,False
882,student assessment instructional design educational leadership educational technology educational psychology educational administration,4,Bachelor,Portland,Education,False
883,sql power bi derivatives taxation audit financial modeling,2,PhD,Salt Lake City,Finance,True
884,hr policies hris systems employee retention performance management interviewing employee engagement labor laws,3,Bachelor,Kansas City,Human Resources,False
885,3d modeling photography figma art direction cinema 4d employee training,1,Bachelor,New York,Arts & Media,True
886,case management legal analysis patent law family law corporate law,6,High School,San Diego,Legal,False
887,css pandas flask jenkins graphql spring,1,High School,Seattle,Software & IT,False
888,user research editing adobe illustrator sketch wireframing videography,3,Bachelor,Orlando,Arts & Media,True
889,legal documentation regulatory compliance legal ethics legal writing case management deposition,20,Bachelor,Salt Lake City,Legal,True
890,adobe indesign wireframing typography ui design figma infection control case management patient education,1,Bachelor,New York,Arts & Media,True
891,r corporate finance cpa root cause analysis,2,Bachelor,Miami,Finance,True
892,branding after effects illustration ux design creative direction editing content strategy negotiation courtroom procedure family law,6,Master,Pittsburgh,Arts & Media,False
893,marketing automation sem adobe creative suite social media marketing customer journey canva campaign management,4,Associate,Remote,Marketing,True
894,typescript html kubernetes git numpy python php,9,PhD,Houston,Software & IT,True
895,drafting westlaw document review legal ethics legal research legal documentation,2,PhD,Raleigh,Legal,True
896,proposal writing pipeline management cross-selling b2c sales client relationship management,5,Associate,San Jose,Sales,True
897,curriculum development differentiated instruction research blackboard educational technology academic advising python tensorflow,3,PhD,Baltimore,Education,True
898,solidworks testing ansys 3d modeling cad b2b sales contract negotiation,1,Bachelor,Nashville,Engineering,False
899,responsive design user testing storytelling adobe illustrator sketch user research,1,Master,St. Louis,Arts & Media,True
900,industrial design materials science gd&t autocad testing plc financial modeling,6,Bachelor,Miami,Engineering,True
901,emergency care phlebotomy patient assessment,1,Master,Dallas,Healthcare,True
902,vital signs critical care preventive care emergency care physiology crm,10,Bachelor,Dallas,Healthcare,False
903,engineering design finite element analysis microcontrollers testing ansys,5,High School,Remote,Engineering,False
904,critical care electronic health records healthcare regulations anatomy clinical documentation,2,Associate,Remote,Healthcare,True
905,prototyping color theory sketching user research,6,Associate,San Antonio,Arts & Media,False
906,risk assessment pivot tables audit,1,Master,Kansas City,Finance,True
907,vital signs patient assessment pharmacology electronic health records medical records scikit-learn sql docker,4,Associate,Atlanta,Healthcare,True
908,ui design editing after effects,7,Bachelor,Dallas,Arts & Media,False
909,photography typography content strategy wireframing visual design after effects ui design r regulatory compliance,5,Master,Denver,Arts & Media,False
910,organizational development benefits administration labor laws career development employee engagement payroll processing clinical research psychiatric evaluation diagnosis,6,High School,Washington DC,Human Resources,True
911,workforce planning interviewing conflict resolution,1,High School,Salt Lake City,Human Resources,True
912,stem education student assessment course development google classroom pedagogy,7,Bachelor,Los Angeles,Education,True
913,consultative selling solution selling salesforce,3,Associate,San Francisco,Sales,False
914,nosql aws spring scala html jenkins kotlin finite element analysis testing,25,Bachelor,Raleigh,Software & IT,False
915,salesforce sales forecasting upselling negotiation crm customer retention consultative selling,3,Associate,Detroit,Sales,False
916,videography visual design copywriting branding editing root cause analysis project management,12,PhD,Denver,Arts & Media,False
917,cfa taxation r,1,Bachelor,Baltimore,Finance,True
918,legal ethics intellectual property trademark law imaging,14,Bachelor,Columbus,Legal,True
919,forecasting internal controls regulatory compliance banking,8,Associate,Portland,Finance,True
920,interviewing bamboo hr coaching employee relations employee retention succession planning hr analytics,2,Bachelor,Cincinnati,Human Resources,True
921,ux design creative direction user research cinema 4d invision animation sketch,10,High School,Phoenix,Arts & Media,False
922,imaging anatomy electronic health records case management rehabilitation diagnosis,5,High School,Denver,Healthcare,False
923,family law arbitration deposition drafting mediation trial experience,4,Bachelor,Boston,Legal,False
924,git jenkins pandas,3,Master,Detroit,Software & IT,True
925,django kotlin .net pytorch css,4,Master,Los Angeles,Software & IT,False
926,pedagogy student engagement educational technology educational leadership solution selling,6,Master,Columbus,Education,True
927,branding hubspot analytics,4,Bachelor,St. Louis,Marketing,False
928,wireframing photography user testing,3,Master,Charlotte,Arts & Media,False
929,nosql ruby swift customer retention b2b sales,3,High School,Boston,Software & IT,False
930,taxation investment management risk assessment bloomberg terminal financial reporting,1,High School,Philadelphia,Finance,False
931,system design autocad prototyping storyboarding wireframing illustration,0,Bachelor,Cleveland,Engineering,True
932,sales strategy proposal writing sales presentations hubspot client relationship management gcp mysql,8,PhD,Charlotte,Sales,True
933,medical terminology diagnosis medical records disease management imaging clinical documentation therapy lead generation customer retention,5,Associate,Detroit,Healthcare,False
934,digital marketing seo branding,4,Bachelor,Los Angeles,Marketing,False
935,editing typography adobe illustrator visual design student engagement,2,Associate,Philadelphia,Arts & Media,True
936,pivot tables power bi accounting cash flow analysis forecasting gaap internal controls,8,Bachelor,Atlanta,Finance,False
937,mechanical design engineering design prototyping structural analysis quality control materials science cad,7,Bachelor,Denver,Engineering,False
938,color theory after effects invision,1,Bachelor,Philadelphia,Arts & Media,True
939,family law patent law client counseling,4,Bachelor,San Antonio,Legal,False
940,presentations quotas cross-selling hubspot salesforce banking power bi derivatives,2,Bachelor,St. Louis,Sales,False
941,sql forecasting quickbooks banking accounting due diligence corporate law,1,High School,San Jose,Finance,True
942,product development root cause analysis plc circuit design,2,Master,Dallas,Engineering,True
943,corporate finance r cash flow analysis financial statements forecasting,1,Associate,Pittsburgh,Finance,True
944,employee engagement employee training succession planning,6,Associate,Miami,Human Resources,True
945,finite element analysis process improvement testing blueprint reading prototyping technical documentation,8,High School,Phoenix,Engineering,False
946,e-discovery case management criminal law mediation litigation sketching videography ui design,8,Bachelor,Remote,Legal,True
947,infection control phlebotomy imaging,11,High School,San Francisco,Healthcare,True
948,presentations cross-selling crm contract negotiation,2,Master,Miami,Sales,False
949,b2b sales business development proposal writing account management quotas internal controls financial reporting regulatory compliance,3,Master,San Jose,Sales,False
950,student support student assessment academic advising educational psychology,3,Bachelor,Washington DC,Education,False
951,legal documentation lexisnexis family law e-discovery drafting facebook ads market research seo tools,10,Bachelor,Denver,Legal,True
952,employee onboarding conflict resolution benefits administration,3,Master,Baltimore,Human Resources,True
953,negotiation legal research case management,18,PhD,Boston,Legal,True
954,course development student engagement teaching instructional design academic writing,4,Associate,Miami,Education,False
955,google analytics copywriting crm software buffer facebook ads public relations contract negotiation,2,Associate,Philadelphia,Marketing,True
956,westlaw document review patent law legal research,8,Bachelor,Boston,Legal,False
957,physiology treatment planning patient care preventive care clinical documentation,1,Master,St. Louis,Healthcare,True
958,educational assessment iep development teaching,3,Bachelor,Baltimore,Education,True
959,matlab failure analysis catia microcontrollers project management,3,Associate,Minneapolis,Engineering,True
960,editing user research blender figma typography storyboarding sketch,3,PhD,Pittsburgh,Arts & Media,False
961,legal analysis brief writing legal ethics drafting regulatory compliance trademark law legal documentation,3,Bachelor,Denver,Legal,False
962,react aws .net thermodynamics prototyping,4,Master,Austin,Software & IT,True
